Bug_Name|Web_Link|Issue_Title|Actor_Characteristic|Actor_SubCategory|CBS_Aspect|CBS_Software|CBS_Implication
[Atlas-405]|https://github.com/Netflix/atlas/issues/405|Comparison violates contract error|Logic|Logic|R|L|F
[Colossus-109]|https://github.com/tumblr/colossus/issues/109|Multiple bugs with unbinding client connections|Communication|Connection|R|LE|F
[Colossus-111]|https://github.com/tumblr/colossus/issues/111|Shutting down a server should kill all associated connections|Coordination|Shutdown|R|L|F
[Colossus-131]|https://github.com/tumblr/colossus/issues/131|Worker clientConnect can throw|Communication|ErrorHandle|R|E|FT
[Colossus-132]|https://github.com/tumblr/colossus/issues/132|race condition with Server registration|Coordination|Recovery|R|R|F
[Colossus-15]|https://github.com/tumblr/colossus/issues/15|Multiple metric systems have actor name conflicts|Coordination|Cooperation|S|L|F
[Colossus-21]|https://github.com/tumblr/colossus/pull/21|Removing TestConnection, Starting fixes for AsyncServiceClient|Logic|Logic|P|O|P
[Colossus-212]|https://github.com/tumblr/colossus/issues/212|WriteEndpoint must buffer writes per event loop iteration |Coordination|WorkLoad|P|O|P
[Colossus-215]|https://github.com/tumblr/colossus/issues/215|AsyncServiceClient handlers are bound twice|Coordination|Creation|R|L|P
[Colossus-23]|https://github.com/tumblr/colossus/issues/23|ColossusSpec.end(server) ends the IOSystem|Coordination|Shutdown|R|L|F
[Colossus-265]|https://github.com/tumblr/colossus/issues/265|Don't use scheduler.schedule for worker idle checks|Coordination|WorkLoad|PS|CA|P
[Colossus-268]|https://github.com/tumblr/colossus/issues/268|Metrics are lagging by 1 tick period|Logic|Logic|P|L|P
[Colossus-278]|https://github.com/tumblr/colossus/issues/278|Client keeps trying to connect when disconnect is called in connecting state|Communication|Connection|A|HE|F
[Colossus-305]|https://github.com/tumblr/colossus/issues/305|ServiceServer should always push requests to request buffer|Logic|Logic|A|LC|L
[Colossus-33]|https://github.com/tumblr/colossus/issues/33|Service serving requests but logs error|Logic|Logic|R|C|F
[Colossus-37]|https://github.com/tumblr/colossus/issues/37|Fix ServiceClient request timeouts|Logic|Logic|P|L|P
[Colossus-413]|https://github.com/tumblr/colossus/issues/413|AsyncServiceClient doesn't respect graceful disconnect|Logic|Logic|R|L|F
[Colossus-42]|https://github.com/tumblr/colossus/issues/42|AsyncServiceClient infinite retry loop|Communication|Response|PA|H|FPT
[Colossus-432]|https://github.com/tumblr/colossus/issues/432|Request timeouts sometimes fail to occur on clients|Communication|Connection|R|E|F
[Colossus-44]|https://github.com/tumblr/colossus/issues/44|LoadBalancer is sometimes double connecting|Communication|Connection|R|C|FT
[Colossus-6]|https://github.com/tumblr/colossus/issues/6|Parsing error in http request|Communication|ErrorHandle|R|L|F
[Colossus-81]|https://github.com/tumblr/colossus/issues/81|FiniteBytePipe of length 0 doesn't work|Logic|Logic|P|L|P
[Elastic4s-420]|https://github.com/sksamuel/elastic4s/issues/420|Deadletter encountered when calling onComplete()|Communication|Response|A|L|F
[Elastic4s-494]|https://github.com/sksamuel/elastic4s/issues/494|BulkIndexingSubscriber infinite loop|Communication|Response|RC|HE|FPTL
[Elastic4s-615]|https://github.com/sksamuel/elastic4s/issues/615|Elastic4s streams : Subscriber completionFn is also called when errorFn is called|Logic|Logic|R|E|F
[Ensime-1027]|https://github.com/ensime/ensime-server/issues/1027|allow reconnections and multiple clients|Logic|Logic|R|LG|F
[Ensime-1029]|https://github.com/ensime/ensime-server/issues/1029|refactor import results in corrupted source code if the first line is an import statement |Logic|Logic|R|L|F
[Ensime-1031]|https://github.com/ensime/ensime-server/issues/1031|Indexing crashes silently on some spark dependency|Logic|Logic|R|E|F
[Ensime-1089]|https://github.com/ensime/ensime-server/issues/1089|Improve error messages on class watcher errors|Logic|Logic|R|O|L
[Ensime-1526]|https://github.com/ensime/ensime-server/issues/1526|could not read file: jar:file|Coordination|Cooperation|RA|L|F
[Ensime-155]|https://github.com/ensime/ensime-server/issues/155|Don't write files in place on completion request |Logic|Logic|PS|L|P
[Ensime-1551]|https://github.com/ensime/ensime-server/issues/1551|Project actor init should happen on creation, not on connection info request|Logic|Logic|A|L|F
[Ensime-663]|https://github.com/ensime/ensime-server/issues/663|Format source code prints ? instead of left arrow|Logic|Logic|R|C|FC
